accession,source_db,title,doi,modality,platform,n_patients,n_cells,lh_timepoints,sub_compartments,disease_groups,raw_data_available,confidence_score,confidence_tier,download_url,file_size_gb,date_scraped
GSE311899,GEO,Autologous cell therapy with CD133+ bone marrow-derived stem cells for Asherman Syndrome: a phase 1/2 trial [biopsies],,scRNA-seq,24676,,,,,RPL;infertility,False,0.9,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE311nnn/GSE311899/,,2026-03-02T23:27:51.451907+00:00
GSE311897,GEO,Autologous cell therapy with CD133+ bone marrow-derived stem cells for Asherman Syndrome: a phase 1/2 trial [organoids],,scRNA-seq,24676,,,,,RPL;infertility,False,0.9,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE311nnn/GSE311897/,,2026-03-02T23:27:51.476063+00:00
GSE290822,GEO,Single cell mapping of the human endometrium and first trimester decidua identifies distinct epithelial and stromal cell contributions to fertility [single cell RNA-seq],,scRNA-seq,18573,,,mid-secretory,stroma,,False,3.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE290nnn/GSE290822/,,2026-03-02T23:27:51.500394+00:00
GSE305531,GEO,A Single-Cell Transcriptomic Atlas of the Pigtail Macaque Placenta in Late Gestation,,scRNA-seq,35389,,,,uNK,,False,3.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305531/,,2026-03-02T23:27:51.529705+00:00
GSE274701,GEO,"Single-cell transcriptomic atlases of midgestation fetal-maternal interface from opossum, tenrec, guinea pig, and mouse",10.1038/s41559-025-02748-x,bulkRNA-seq,30856;28437;24247;34816,,,,stroma;decidual,,False,5.6,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274701/,,2026-03-02T23:27:51.549409+00:00
GSE242864,GEO,An epigenetic timer of gestation length in mice [scRNA-Seq],10.1016/j.cell.2024.12.019,scRNA-seq,24247,,,,,healthy,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242864/,,2026-03-02T23:27:51.995394+00:00
GSE171588,GEO,Time space and single-cell resolved tissue lineage trajectories and laterality of body plan at gastrulation,,scRNA-seq,17021;24247,,,,,,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171588/,,2026-03-02T23:27:52.345126+00:00
GSE207630,GEO,A human maternal-fetus interface transcriptome atlas,,scRNA-seq,24676,,,,,infertility,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207630/,,2026-03-02T23:27:52.649956+00:00
GSE214607,GEO,Single-cell sequencing and second-generation RNA sequencing-based screening of macrophage-associated marker genes for recurrent miscarriage diagnosis,10.3389/fimmu.2022.1053819,scRNA-seq,24676,,,,macrophage,RPL,False,7.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE214nnn/GSE214607/,,2026-03-02T23:27:52.668502+00:00
GSE133200,GEO,Primary specification of blastocyst trophectoderm by scRNA-seq: new insights into embryo implantation,10.1126/sciadv.abj3725,scRNA-seq,20301;21103,,,,,,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133200/,,2026-03-02T23:27:53.401406+00:00
GSE186069,GEO,Systematic reconstruction of the cellular trajectories of mammalian embryogenesis (E8.5),10.1038/s41588-022-01018-x,scRNA-seq,24247,,,,,,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186069/,,2026-03-02T23:27:53.750752+00:00
GSE130560,GEO,Single-cell RNA-seq to decipher the subpopulations of human decidual leukocytes in normal and RSA pregnancies,,scRNA-seq,24676,,,,decidual,,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130560/,,2026-03-02T23:27:54.447739+00:00
GSE164449,GEO,The immune atlas of human deciduas with unexplained recurrent pregnancy loss,10.3389/fimmu.2021.689019,bulkRNA-seq,24676,,,,macrophage;T cell;decidual;B cell;dendritic cell;mast cell,RPL,False,7.8,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164449/,,2026-03-02T23:27:54.466730+00:00
GSE171381,GEO,SARS-CoV-2 infection in pregnancy is associated with robust inflammatory response at the maternal-fetal interface,10.1016/j.medj.2021.04.016,Unknown,24676,,,,,,False,0.0,LOW_CONFIDENCE,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171381/,,2026-03-02T23:27:54.790793+00:00
